ticketID,ticket_number,status,categoryID,userID,date_booked,discountID,showID
93,5784274,CANCELED,10,7,2024-04-16 05:46:58,1,21
94,8569128,CANCELED,5,10,2024-04-12 13:55:57,2,22
95,5821326,CANCELED,2,1,2024-04-20 19:34:53,1,22
96,1593633,CANCELED,1,10,2024-04-26 00:08:43,1,22
97,3117215,BOOKED,2,5,2024-04-13 18:56:28,4,22
98,1558544,BOOKED,8,5,2024-05-04 21:21:45,3,22
99,4382875,CANCELED,2,10,2024-05-07 10:41:27,1,22
100,8616366,BOOKED,2,6,2024-04-06 17:27:04,4,22
101,2122579,CANCELED,10,9,2024-05-05 08:52:45,2,22
102,2459497,CANCELED,5,1,2024-04-22 10:20:00,2,22
103,1486577,CANCELED,5,7,2024-05-09 05:06:58,1,23
104,7555855,BOOKED,10,8,2024-04-26 06:07:41,4,24
105,6361274,BOOKED,7,3,2024-04-07 11:16:26,3,24
106,9294397,BOOKED,4,4,2024-05-05 05:00:29,4,24
107,4103305,BOOKED,9,2,2024-04-14 13:33:21,3,24
108,5299837,BOOKED,6,7,2024-05-01 20:00:32,1,24
109,6559373,BOOKED,3,8,2024-04-28 21:58:18,2,24
110,3924693,BOOKED,8,4,2024-05-04 14:57:15,3,24
111,5543623,CANCELED,3,5,2024-04-23 05:09:56,4,25
112,9212819,BOOKED,6,2,2024-04-03 13:11:10,1,25
113,3343668,BOOKED,5,10,2024-04-21 01:46:58,3,25
114,1657755,CANCELED,5,2,2024-04-24 10:09:11,1,25
115,7519474,CANCELED,6,5,2024-04-09 10:39:49,1,25
116,7946038,CANCELED,1,6,2024-04-09 13:23:04,3,25
117,1094205,CANCELED,7,7,2024-04-21 04:15:59,4,26
118,6744890,CANCELED,9,7,2024-04-04 03:37:50,1,26
119,6187886,BOOKED,2,1,2024-04-05 09:37:13,4,26
120,5232739,BOOKED,1,1,2024-05-08 12:55:10,4,26
121,7527141,BOOKED,5,3,2024-04-11 18:46:14,4,26
122,8842877,CANCELED,4,5,2024-04-23 02:28:25,4,26
123,8619584,BOOKED,9,5,2024-04-28 13:03:55,4,27
124,5379403,CANCELED,8,8,2024-04-13 18:59:46,4,28
125,9235324,CANCELED,8,5,2024-05-05 17:19:02,1,28
126,4017905,BOOKED,1,1,2024-04-05 07:02:33,1,29
127,8468184,BOOKED,8,2,2024-05-08 03:53:24,2,29
128,6718810,BOOKED,2,4,2024-04-16 10:12:26,1,29
129,1817013,BOOKED,9,6,2024-04-24 12:08:18,4,29
130,3059708,CANCELED,1,3,2024-04-06 18:05:54,1,29
131,2228555,BOOKED,9,6,2024-04-27 09:20:30,1,29
132,5159624,CANCELED,7,7,2024-04-17 19:21:59,1,29
133,6431564,BOOKED,10,2,2024-04-17 01:58:28,1,29
134,5014057,CANCELED,4,6,2024-05-06 05:48:32,2,30
135,8024344,BOOKED,8,4,2024-04-04 07:36:43,1,30
136,9867122,BOOKED,6,10,2024-05-06 11:31:54,1,30
137,3385423,BOOKED,1,8,2024-04-05 19:20:55,3,30
138,9042943,CANCELED,5,4,2024-04-09 16:50:59,3,30
139,6187840,BOOKED,1,1,2024-04-04 15:13:26,4,30
140,3740868,CANCELED,10,1,2024-03-31 16:58:06,4,30
141,9424200,CANCELED,9,6,2024-04-17 04:00:59,2,30
142,8612928,BOOKED,3,10,2024-04-16 00:57:25,3,30
143,3205312,CANCELED,1,6,2024-04-19 16:44:43,2,31
144,5471956,BOOKED,9,6,2024-05-06 02:40:03,3,31
145,8055549,CANCELED,9,2,2024-04-05 07:36:58,2,31
146,2222446,CANCELED,2,4,2024-04-09 06:18:59,2,31
147,1451433,BOOKED,8,1,2024-04-28 16:53:45,1,31
148,4859662,CANCELED,1,2,2024-05-01 22:55:52,3,31
149,3194251,BOOKED,6,8,2024-04-04 00:50:28,2,31
150,2671720,CANCELED,6,3,2024-05-05 22:20:47,4,31
151,2647131,BOOKED,6,4,2024-04-20 12:06:02,4,31
152,8803820,CANCELED,10,3,2024-04-23 00:25:58,1,32
153,2607145,BOOKED,8,9,2024-05-03 17:11:33,2,32
154,1527251,CANCELED,9,1,2024-05-03 00:54:26,3,32
155,1052341,CANCELED,7,8,2024-05-05 21:45:58,3,32
156,6925784,BOOKED,9,8,2024-04-10 16:07:17,3,32
157,4195771,CANCELED,9,1,2024-04-10 10:53:11,2,32
158,3408654,CANCELED,9,10,2024-04-01 10:11:45,4,32
159,7835872,CANCELED,7,6,2024-04-02 02:13:11,3,33
160,9172110,CANCELED,8,6,2024-04-04 09:49:35,1,33
161,9964027,CANCELED,3,6,2024-04-28 03:14:48,3,34
162,6714028,BOOKED,8,3,2024-03-31 11:24:09,4,34
163,2289580,BOOKED,8,4,2024-04-26 17:55:14,1,34
164,4320153,CANCELED,5,8,2024-05-08 15:57:42,1,34
165,6983543,BOOKED,10,8,2024-05-09 05:15:03,2,34
166,5876585,CANCELED,2,9,2024-05-10 02:23:41,2,34
167,1032916,CANCELED,10,8,2024-04-27 15:41:37,4,35
168,3291148,CANCELED,1,7,2024-04-27 10:56:40,2,35
169,1783888,CANCELED,1,1,2024-04-05 23:48:30,4,35
170,4300881,CANCELED,4,3,2024-04-20 14:52:27,1,35
171,2610469,BOOKED,2,8,2024-04-18 16:40:00,2,35
172,3552643,CANCELED,4,3,2024-04-02 05:22:36,3,36
173,1757616,CANCELED,6,10,2024-04-07 18:49:15,4,36
174,6235215,CANCELED,2,9,2024-04-04 17:05:37,3,36
175,9560050,CANCELED,10,8,2024-04-22 17:59:17,4,36
176,5978788,CANCELED,3,4,2024-04-24 12:33:14,1,36
177,7304331,CANCELED,8,2,2024-04-29 20:44:41,1,36
178,8926002,CANCELED,4,1,2024-05-01 23:28:53,1,37
179,1137207,CANCELED,7,4,2024-04-07 01:34:41,2,37
180,3314989,BOOKED,8,9,2024-04-08 13:55:00,4,37
181,6893122,CANCELED,10,1,2024-04-10 04:09:06,1,37
182,1204825,CANCELED,8,1,2024-05-09 08:50:28,1,39
183,4549135,CANCELED,5,7,2024-04-15 01:42:47,1,39
184,6411715,BOOKED,9,8,2024-04-14 12:13:32,2,40
185,9506514,CANCELED,8,3,2024-05-07 03:51:45,1,40
186,3690260,CANCELED,5,9,2024-04-06 08:41:21,2,40
187,4984018,BOOKED,9,9,2024-04-14 17:44:35,4,41
188,6766772,CANCELED,1,6,2024-04-08 10:09:42,4,41
189,3008900,BOOKED,4,10,2024-04-06 10:06:53,4,41
190,5100550,CANCELED,2,6,2024-05-02 07:14:06,3,41
191,7422147,CANCELED,7,6,2024-04-02 13:40:19,2,41
192,3123995,CANCELED,1,1,2024-05-04 13:37:06,3,41
193,7311546,CANCELED,6,1,2024-04-02 15:42:44,2,42
194,7135604,BOOKED,9,7,2024-04-26 13:43:06,4,43
195,9649226,BOOKED,5,10,2024-04-10 02:48:27,1,43
196,4805896,BOOKED,6,4,2024-04-26 10:03:03,1,44
197,8124301,CANCELED,8,1,2024-05-01 08:49:06,1,45
198,7326051,CANCELED,2,1,2024-04-28 02:32:14,1,46
199,5277831,BOOKED,7,4,2024-04-01 19:27:09,1,46
200,6461464,BOOKED,9,7,2024-05-04 17:59:04,1,46
201,1362255,CANCELED,5,4,2024-04-01 15:25:29,2,46
202,3296052,CANCELED,2,10,2024-04-19 01:23:49,2,46
203,6470142,BOOKED,3,9,2024-05-04 12:47:04,4,47
204,5134173,CANCELED,10,2,2024-04-23 14:45:36,4,47
205,5525345,BOOKED,6,5,2024-05-02 18:04:42,1,47
206,7809945,BOOKED,6,7,2024-04-17 06:58:28,4,47
207,3800176,BOOKED,4,8,2024-04-22 07:49:42,1,47
208,9344579,BOOKED,6,3,2024-05-02 18:47:38,1,47
209,3718807,BOOKED,2,2,2024-04-30 19:55:18,4,48
210,5774619,BOOKED,8,3,2024-04-19 13:28:41,1,48
211,3955169,CANCELED,10,4,2024-04-24 10:11:28,2,48
212,1377363,CANCELED,5,7,2024-04-24 16:03:59,4,48
213,9112967,BOOKED,6,7,2024-04-11 01:21:54,3,48
214,1551330,CANCELED,10,10,2024-04-27 17:52:52,1,48
215,5142831,CANCELED,1,6,2024-04-21 09:00:10,4,48
216,2518305,BOOKED,5,9,2024-04-23 09:16:52,4,48
217,5212542,BOOKED,7,9,2024-05-02 08:47:51,4,48
218,4035316,CANCELED,9,3,2024-04-27 16:55:25,4,49
219,9453632,BOOKED,3,9,2024-04-06 22:15:58,1,49
220,2833995,BOOKED,10,5,2024-04-16 22:00:21,4,49
221,4232483,CANCELED,9,1,2024-05-05 15:14:53,2,49
222,7702231,BOOKED,3,4,2024-04-30 13:12:18,1,49
223,8800079,CANCELED,5,5,2024-04-12 15:35:37,2,49
224,7838221,BOOKED,9,8,2024-04-22 02:33:07,1,49
225,9075518,BOOKED,1,7,2024-04-25 21:03:14,4,50
226,1591620,CANCELED,5,9,2024-05-04 21:40:03,4,50
227,3574080,BOOKED,7,7,2024-05-05 02:51:41,2,50
228,8888415,BOOKED,9,5,2024-04-13 04:25:05,3,50
229,3154433,CANCELED,3,10,2024-04-03 19:39:35,1,50
230,4025517,BOOKED,3,9,2024-04-24 08:52:18,4,51
231,2217146,CANCELED,6,2,2024-05-04 09:47:26,4,51
232,4500237,CANCELED,7,2,2024-05-05 20:40:51,1,51
233,2861222,CANCELED,5,4,2024-05-07 02:01:57,4,51
234,3777135,BOOKED,10,9,2024-04-22 10:01:36,2,51
235,9746485,CANCELED,7,10,2024-04-14 22:01:03,3,52
236,3487717,BOOKED,6,7,2024-05-07 18:40:11,2,52
237,9449884,CANCELED,9,1,2024-04-24 03:27:47,4,52
238,4459114,CANCELED,6,3,2024-04-26 22:21:03,1,52
239,3454213,BOOKED,2,4,2024-04-14 17:13:22,1,52
240,2213568,BOOKED,2,9,2024-04-04 10:49:55,1,53
241,5022248,CANCELED,1,7,2024-04-04 14:07:25,4,54
242,9170691,CANCELED,1,8,2024-04-15 09:46:04,4,54
243,7202478,BOOKED,9,8,2024-04-05 20:33:08,1,54
244,6087712,BOOKED,7,4,2024-04-30 21:13:14,4,54
245,4203997,CANCELED,2,1,2024-04-20 00:25:03,3,54
246,9012302,CANCELED,4,8,2024-04-11 00:02:20,4,54
247,3249571,CANCELED,10,5,2024-04-07 18:38:43,1,55
248,1303205,BOOKED,3,4,2024-04-09 13:41:32,2,55
249,4910152,CANCELED,3,3,2024-04-13 13:57:07,3,55
250,9974846,BOOKED,8,7,2024-05-01 11:30:37,4,56
251,4403428,CANCELED,3,6,2024-04-06 13:57:58,4,56
252,6329120,CANCELED,2,1,2024-04-27 12:37:47,2,57
253,6925122,BOOKED,5,5,2024-04-04 03:21:03,1,58
254,8522718,CANCELED,6,7,2024-04-14 22:27:35,1,59
255,8532940,BOOKED,2,5,2024-04-09 06:21:24,1,59
256,6296607,CANCELED,7,6,2024-04-24 19:24:53,3,59
257,5619592,BOOKED,8,5,2024-05-09 02:09:20,2,59
258,9968352,BOOKED,2,7,2024-05-08 18:18:32,2,59
259,2976948,CANCELED,5,9,2024-04-19 06:41:23,3,59
260,8116735,CANCELED,4,8,2024-05-07 03:36:35,1,60
261,9623599,BOOKED,5,8,2024-05-07 03:09:29,3,60
262,7535818,CANCELED,4,1,2024-04-01 16:48:20,3,60
